"id","aluno","materia","professor","data","dificuldade","nota","status"
36,"Aluno 8","Matéria 6","Professor 6","2025-03-13","Médio","61.11","Reprovado"
37,"Aluno 8","Matéria 8","Professor 7","2025-03-13","Difícil","1.59","Reprovado"
38,"Aluno 8","Matéria 7","Professor 9","2025-03-13","Difícil","15.68","Reprovado"
39,"Aluno 8","Matéria 3","Professor 1","2025-03-13","Médio","27.34","Reprovado"
40,"Aluno 8","Matéria 2","Professor 7","2025-03-13","Médio","81.33","Aprovado"
41,"Aluno 9","Matéria 10","Professor 7","2025-03-13","Médio","79.42","Aprovado"
42,"Aluno 9","Matéria 9","Professor 3","2025-03-13","Difícil","11.44","Reprovado"
43,"Aluno 9","Matéria 8","Professor 3","2025-03-13","Fácil","6.18","Reprovado"
44,"Aluno 9","Matéria 8","Professor 5","2025-03-13","Médio","67.26","Reprovado"
45,"Aluno 9","Matéria 3","Professor 9","2025-03-13","Difícil","62.43","Reprovado"
46,"Aluno 10","Matéria 7","Professor 5","2025-03-13","Fácil","1.03","Reprovado"
47,"Aluno 10","Matéria 8","Professor 7","2025-03-13","Médio","36.85","Reprovado"
48,"Aluno 10","Matéria 4","Professor 3","2025-03-13","Fácil","76.23","Aprovado"
49,"Aluno 10","Matéria 8","Professor 9","2025-03-13","Fácil","8.20","Reprovado"
50,"Aluno 10","Matéria 5","Professor 3","2025-03-13","Difícil","26.96","Reprovado"
51,"Aluno 11","Matéria 9","Professor 3","2025-03-13","Difícil","23.08","Reprovado"
52,"Aluno 11","Matéria 4","Professor 6","2025-03-13","Fácil","33.64","Reprovado"
53,"Aluno 11","Matéria 9","Professor 8","2025-03-13","Difícil","57.19","Reprovado"
54,"Aluno 11","Matéria 5","Professor 1","2025-03-13","Médio","37.41","Reprovado"
55,"Aluno 11","Matéria 6","Professor 8","2025-03-13","Médio","63.45","Reprovado"
56,"Aluno 12","Matéria 5","Professor 8","2025-03-13","Fácil","79.90","Aprovado"
57,"Aluno 12","Matéria 2","Professor 7","2025-03-13","Médio","79.16","Aprovado"
58,"Aluno 12","Matéria 9","Professor 5","2025-03-13","Fácil","85.76","Aprovado"
59,"Aluno 12","Matéria 9","Professor 3","2025-03-13","Difícil","89.90","Aprovado"
60,"Aluno 12","Matéria 4","Professor 8","2025-03-13","Médio","95.77","Aprovado"
61,"Aluno 13","Matéria 9","Professor 6","2025-03-13","Médio","93.29","Aprovado"
62,"Aluno 13","Matéria 1","Professor 1","2025-03-13","Difícil","9.46","Reprovado"
63,"Aluno 13","Matéria 10","Professor 1","2025-03-13","Médio","79.05","Aprovado"
64,"Aluno 13","Matéria 6","Professor 3","2025-03-13","Difícil","24.83","Reprovado"
65,"Aluno 13","Matéria 10","Professor 4","2025-03-13","Difícil","37.78","Reprovado"
66,"Aluno 14","Matéria 7","Professor 8","2025-03-13","Difícil","20.96","Reprovado"
67,"Aluno 14","Matéria 6","Professor 1","2025-03-13","Difícil","59.13","Reprovado"
68,"Aluno 14","Matéria 9","Professor 9","2025-03-13","Médio","83.15","Aprovado"
69,"Aluno 14","Matéria 9","Professor 3","2025-03-13","Médio","28.24","Reprovado"
70,"Aluno 14","Matéria 9","Professor 10","2025-03-13","Fácil","66.43","Reprovado"
71,"Aluno 15","Matéria 8","Professor 1","2025-03-13","Difícil","94.55","Aprovado"
72,"Aluno 15","Matéria 4","Professor 10","2025-03-13","Médio","8.01","Reprovado"
73,"Aluno 15","Matéria 3","Professor 3","2025-03-13","Médio","20.23","Reprovado"
74,"Aluno 15","Matéria 6","Professor 10","2025-03-13","Médio","44.51","Reprovado"
75,"Aluno 15","Matéria 2","Professor 9","2025-03-13","Difícil","19.78","Reprovado"
76,"Aluno 16","Matéria 3","Professor 8","2025-03-13","Difícil","16.64","Reprovado"
77,"Aluno 16","Matéria 10","Professor 5","2025-03-13","Difícil","9.60","Reprovado"
78,"Aluno 16","Matéria 10","Professor 3","2025-03-13","Fácil","74.05","Aprovado"
79,"Aluno 16","Matéria 7","Professor 3","2025-03-13","Médio","44.81","Reprovado"
80,"Aluno 16","Matéria 5","Professor 10","2025-03-13","Difícil","40.55","Reprovado"
81,"Aluno 17","Matéria 10","Professor 8","2025-03-13","Fácil","54.46","Reprovado"
82,"Aluno 17","Matéria 8","Professor 2","2025-03-13","Difícil","66.86","Reprovado"
83,"Aluno 17","Matéria 10","Professor 7","2025-03-13","Difícil","66.91","Reprovado"
84,"Aluno 17","Matéria 5","Professor 4","2025-03-13","Fácil","83.64","Aprovado"
85,"Aluno 17","Matéria 2","Professor 5","2025-03-13","Médio","32.54","Reprovado"
86,"Aluno 18","Matéria 3","Professor 6","2025-03-13","Difícil","10.82","Reprovado"
87,"Aluno 18","Matéria 3","Professor 7","2025-03-13","Médio","59.61","Reprovado"
88,"Aluno 18","Matéria 9","Professor 4","2025-03-13","Médio","81.64","Aprovado"
89,"Aluno 18","Matéria 8","Professor 10","2025-03-13","Médio","60.33","Reprovado"
90,"Aluno 18","Matéria 1","Professor 8","2025-03-13","Fácil","57.01","Reprovado"
91,"Aluno 19","Matéria 7","Professor 3","2025-03-13","Médio","77.48","Aprovado"
92,"Aluno 19","Matéria 6","Professor 8","2025-03-13","Fácil","28.98","Reprovado"
93,"Aluno 19","Matéria 9","Professor 3","2025-03-13","Difícil","90.36","Aprovado"
94,"Aluno 19","Matéria 1","Professor 8","2025-03-13","Médio","77.65","Aprovado"
95,"Aluno 19","Matéria 3","Professor 6","2025-03-13","Difícil","8.56","Reprovado"
96,"Aluno 20","Matéria 10","Professor 7","2025-03-13","Médio","81.37","Aprovado"
97,"Aluno 20","Matéria 6","Professor 6","2025-03-13","Médio","88.77","Aprovado"
98,"Aluno 20","Matéria 6","Professor 1","2025-03-13","Fácil","19.93","Reprovado"
99,"Aluno 20","Matéria 5","Professor 9","2025-03-13","Médio","1.69","Reprovado"
100,"Aluno 20","Matéria 9","Professor 6","2025-03-13","Médio","80.74","Aprovado"
101,"Aluno 21","Matéria 1","Professor 5","2025-03-13","Difícil","92.21","Aprovado"
102,"Aluno 21","Matéria 1","Professor 4","2025-03-13","Fácil","37.92","Reprovado"
103,"Aluno 21","Matéria 4","Professor 10","2025-03-13","Médio","92.72","Aprovado"
104,"Aluno 21","Matéria 10","Professor 10","2025-03-13","Médio","82.19","Aprovado"
105,"Aluno 21","Matéria 7","Professor 7","2025-03-13","Médio","59.37","Reprovado"
106,"Aluno 22","Matéria 1","Professor 9","2025-03-13","Fácil","6.54","Reprovado"
107,"Aluno 22","Matéria 5","Professor 5","2025-03-13","Fácil","50.69","Reprovado"
108,"Aluno 22","Matéria 3","Professor 10","2025-03-13","Fácil","8.00","Reprovado"
109,"Aluno 22","Matéria 2","Professor 10","2025-03-13","Difícil","69.56","Reprovado"
110,"Aluno 22","Matéria 4","Professor 6","2025-03-13","Difícil","95.08","Aprovado"
111,"Aluno 23","Matéria 4","Professor 10","2025-03-13","Médio","61.16","Reprovado"
112,"Aluno 23","Matéria 4","Professor 8","2025-03-13","Difícil","1.28","Reprovado"
113,"Aluno 23","Matéria 9","Professor 10","2025-03-13","Difícil","5.78","Reprovado"
114,"Aluno 23","Matéria 7","Professor 10","2025-03-13","Médio","14.41","Reprovado"
115,"Aluno 23","Matéria 5","Professor 6","2025-03-13","Difícil","10.31","Reprovado"
116,"Aluno 24","Matéria 10","Professor 4","2025-03-13","Fácil","4.03","Reprovado"
117,"Aluno 24","Matéria 9","Professor 7","2025-03-13","Difícil","99.38","Aprovado"
118,"Aluno 24","Matéria 5","Professor 6","2025-03-13","Fácil","94.73","Aprovado"
119,"Aluno 24","Matéria 1","Professor 1","2025-03-13","Fácil","96.11","Aprovado"
120,"Aluno 24","Matéria 4","Professor 9","2025-03-13","Fácil","2.25","Reprovado"
121,"Aluno 25","Matéria 3","Professor 1","2025-03-13","Médio","18.71","Reprovado"
122,"Aluno 25","Matéria 6","Professor 6","2025-03-13","Fácil","7.45","Reprovado"
123,"Aluno 25","Matéria 3","Professor 9","2025-03-13","Difícil","53.90","Reprovado"
124,"Aluno 25","Matéria 9","Professor 9","2025-03-13","Difícil","88.66","Aprovado"
125,"Aluno 25","Matéria 8","Professor 9","2025-03-13","Médio","8.54","Reprovado"
126,"Aluno 26","Matéria 3","Professor 6","2025-03-13","Fácil","74.64","Aprovado"
127,"Aluno 26","Matéria 1","Professor 4","2025-03-13","Fácil","37.22","Reprovado"
128,"Aluno 26","Matéria 1","Professor 8","2025-03-13","Médio","91.92","Aprovado"
129,"Aluno 26","Matéria 9","Professor 10","2025-03-13","Médio","61.91","Reprovado"
130,"Aluno 26","Matéria 7","Professor 8","2025-03-13","Difícil","50.48","Reprovado"
131,"Aluno 27","Matéria 8","Professor 10","2025-03-13","Fácil","8.19","Reprovado"
132,"Aluno 27","Matéria 3","Professor 2","2025-03-13","Difícil","54.15","Reprovado"
133,"Aluno 27","Matéria 9","Professor 10","2025-03-13","Fácil","26.18","Reprovado"
134,"Aluno 27","Matéria 5","Professor 6","2025-03-13","Médio","26.69","Reprovado"
135,"Aluno 27","Matéria 5","Professor 1","2025-03-13","Difícil","71.63","Aprovado"
136,"Aluno 28","Matéria 4","Professor 5","2025-03-13","Difícil","85.57","Aprovado"
137,"Aluno 28","Matéria 3","Professor 9","2025-03-13","Fácil","18.31","Reprovado"
138,"Aluno 28","Matéria 7","Professor 6","2025-03-13","Difícil","74.38","Aprovado"
139,"Aluno 28","Matéria 2","Professor 4","2025-03-13","Difícil","28.22","Reprovado"
140,"Aluno 28","Matéria 10","Professor 1","2025-03-13","Fácil","96.46","Aprovado"
141,"Aluno 29","Matéria 6","Professor 6","2025-03-13","Médio","0.87","Reprovado"
142,"Aluno 29","Matéria 1","Professor 5","2025-03-13","Médio","65.24","Reprovado"
143,"Aluno 29","Matéria 6","Professor 8","2025-03-13","Difícil","11.46","Reprovado"
144,"Aluno 29","Matéria 1","Professor 5","2025-03-13","Fácil","91.61","Aprovado"
145,"Aluno 29","Matéria 8","Professor 4","2025-03-13","Fácil","24.90","Reprovado"
146,"Aluno 30","Matéria 9","Professor 9","2025-03-13","Médio","37.79","Reprovado"
147,"Aluno 30","Matéria 8","Professor 10","2025-03-13","Médio","47.15","Reprovado"
148,"Aluno 30","Matéria 2","Professor 5","2025-03-13","Médio","77.51","Aprovado"
149,"Aluno 30","Matéria 1","Professor 4","2025-03-13","Difícil","5.27","Reprovado"
150,"Aluno 30","Matéria 7","Professor 9","2025-03-13","Fácil","1.72","Reprovado"
151,"Aluno 31","Matéria 6","Professor 7","2025-03-13","Fácil","31.94","Reprovado"
152,"Aluno 31","Matéria 6","Professor 2","2025-03-13","Difícil","95.98","Aprovado"
153,"Aluno 31","Matéria 5","Professor 3","2025-03-13","Fácil","16.07","Reprovado"
154,"Aluno 31","Matéria 3","Professor 5","2025-03-13","Médio","17.52","Reprovado"
155,"Aluno 31","Matéria 1","Professor 1","2025-03-13","Difícil","79.24","Aprovado"
156,"Aluno 32","Matéria 1","Professor 10","2025-03-13","Fácil","94.28","Aprovado"
157,"Aluno 32","Matéria 5","Professor 10","2025-03-13","Fácil","78.82","Aprovado"
158,"Aluno 32","Matéria 4","Professor 5","2025-03-13","Fácil","12.10","Reprovado"
159,"Aluno 32","Matéria 8","Professor 4","2025-03-13","Médio","70.76","Aprovado"
160,"Aluno 32","Matéria 8","Professor 9","2025-03-13","Médio","22.35","Reprovado"
161,"Aluno 33","Matéria 9","Professor 4","2025-03-13","Fácil","91.65","Aprovado"
162,"Aluno 33","Matéria 6","Professor 10","2025-03-13","Médio","27.79","Reprovado"
163,"Aluno 33","Matéria 2","Professor 6","2025-03-13","Fácil","79.09","Aprovado"
164,"Aluno 33","Matéria 7","Professor 8","2025-03-13","Difícil","39.35","Reprovado"
165,"Aluno 33","Matéria 1","Professor 7","2025-03-13","Médio","41.78","Reprovado"
166,"Aluno 34","Matéria 10","Professor 6","2025-03-13","Fácil","61.82","Reprovado"
167,"Aluno 34","Matéria 5","Professor 2","2025-03-13","Médio","19.08","Reprovado"
168,"Aluno 34","Matéria 1","Professor 5","2025-03-13","Fácil","23.49","Reprovado"
169,"Aluno 34","Matéria 6","Professor 7","2025-03-13","Médio","95.19","Aprovado"
170,"Aluno 34","Matéria 3","Professor 10","2025-03-13","Médio","20.74","Reprovado"
171,"Aluno 35","Matéria 9","Professor 10","2025-03-13","Médio","81.67","Aprovado"
172,"Aluno 35","Matéria 10","Professor 10","2025-03-13","Médio","11.69","Reprovado"
173,"Aluno 35","Matéria 4","Professor 8","2025-03-13","Difícil","63.32","Reprovado"
174,"Aluno 35","Matéria 5","Professor 2","2025-03-13","Médio","80.83","Aprovado"
175,"Aluno 35","Matéria 8","Professor 7","2025-03-13","Difícil","92.74","Aprovado"
176,"Aluno 36","Matéria 10","Professor 4","2025-03-13","Fácil","62.07","Reprovado"
177,"Aluno 36","Matéria 10","Professor 7","2025-03-13","Fácil","75.16","Aprovado"
178,"Aluno 36","Matéria 2","Professor 2","2025-03-13","Médio","7.83","Reprovado"
179,"Aluno 36","Matéria 7","Professor 8","2025-03-13","Fácil","4.28","Reprovado"
180,"Aluno 36","Matéria 5","Professor 4","2025-03-13","Médio","22.46","Reprovado"
181,"Aluno 37","Matéria 8","Professor 2","2025-03-13","Difícil","63.00","Reprovado"
182,"Aluno 37","Matéria 7","Professor 10","2025-03-13","Difícil","53.53","Reprovado"
183,"Aluno 37","Matéria 1","Professor 2","2025-03-13","Fácil","27.02","Reprovado"
184,"Aluno 37","Matéria 1","Professor 6","2025-03-13","Fácil","15.18","Reprovado"
185,"Aluno 37","Matéria 10","Professor 10","2025-03-13","Fácil","62.77","Reprovado"
186,"Aluno 38","Matéria 3","Professor 5","2025-03-13","Difícil","55.30","Reprovado"
187,"Aluno 38","Matéria 7","Professor 1","2025-03-13","Médio","87.93","Aprovado"
188,"Aluno 38","Matéria 3","Professor 3","2025-03-13","Médio","58.33","Reprovado"
189,"Aluno 38","Matéria 5","Professor 8","2025-03-13","Difícil","63.15","Reprovado"
190,"Aluno 38","Matéria 4","Professor 7","2025-03-13","Fácil","16.81","Reprovado"
191,"Aluno 39","Matéria 3","Professor 6","2025-03-13","Difícil","71.65","Aprovado"
192,"Aluno 39","Matéria 5","Professor 1","2025-03-13","Fácil","76.34","Aprovado"
193,"Aluno 39","Matéria 7","Professor 2","2025-03-13","Médio","75.54","Aprovado"
194,"Aluno 39","Matéria 5","Professor 3","2025-03-13","Médio","79.40","Aprovado"
195,"Aluno 39","Matéria 9","Professor 6","2025-03-13","Difícil","74.56","Aprovado"
196,"Aluno 40","Matéria 5","Professor 10","2025-03-13","Médio","93.74","Aprovado"
197,"Aluno 40","Matéria 3","Professor 2","2025-03-13","Difícil","96.99","Aprovado"
198,"Aluno 40","Matéria 1","Professor 1","2025-03-13","Fácil","74.43","Aprovado"
199,"Aluno 40","Matéria 3","Professor 3","2025-03-13","Médio","0.07","Reprovado"
200,"Aluno 40","Matéria 3","Professor 7","2025-03-13","Difícil","26.16","Reprovado"
201,"Aluno 41","Matéria 3","Professor 2","2025-03-13","Difícil","33.30","Reprovado"
202,"Aluno 41","Matéria 6","Professor 9","2025-03-13","Difícil","2.07","Reprovado"
203,"Aluno 41","Matéria 2","Professor 6","2025-03-13","Médio","88.78","Aprovado"
204,"Aluno 41","Matéria 2","Professor 6","2025-03-13","Difícil","67.93","Reprovado"
205,"Aluno 41","Matéria 7","Professor 5","2025-03-13","Médio","68.69","Reprovado"
206,"Aluno 42","Matéria 7","Professor 9","2025-03-13","Difícil","28.78","Reprovado"
207,"Aluno 42","Matéria 10","Professor 5","2025-03-13","Fácil","52.55","Reprovado"
208,"Aluno 42","Matéria 3","Professor 8","2025-03-13","Médio","76.16","Aprovado"
209,"Aluno 42","Matéria 6","Professor 4","2025-03-13","Fácil","99.88","Aprovado"
210,"Aluno 42","Matéria 4","Professor 10","2025-03-13","Médio","60.33","Reprovado"
211,"Aluno 43","Matéria 10","Professor 9","2025-03-13","Fácil","58.55","Reprovado"
212,"Aluno 43","Matéria 6","Professor 8","2025-03-13","Difícil","38.97","Reprovado"
213,"Aluno 43","Matéria 1","Professor 7","2025-03-13","Difícil","54.50","Reprovado"
214,"Aluno 43","Matéria 5","Professor 1","2025-03-13","Fácil","64.29","Reprovado"
215,"Aluno 43","Matéria 4","Professor 2","2025-03-13","Fácil","9.44","Reprovado"
216,"Aluno 44","Matéria 3","Professor 9","2025-03-13","Fácil","17.29","Reprovado"
217,"Aluno 44","Matéria 5","Professor 6","2025-03-13","Difícil","59.21","Reprovado"
218,"Aluno 44","Matéria 1","Professor 5","2025-03-13","Difícil","23.82","Reprovado"
219,"Aluno 44","Matéria 4","Professor 6","2025-03-13","Fácil","80.52","Aprovado"
220,"Aluno 44","Matéria 5","Professor 9","2025-03-13","Fácil","82.71","Aprovado"
221,"Aluno 45","Matéria 1","Professor 4","2025-03-13","Difícil","52.83","Reprovado"
222,"Aluno 45","Matéria 6","Professor 6","2025-03-13","Difícil","56.78","Reprovado"
223,"Aluno 45","Matéria 3","Professor 7","2025-03-13","Médio","82.53","Aprovado"
224,"Aluno 45","Matéria 4","Professor 2","2025-03-13","Difícil","36.72","Reprovado"
225,"Aluno 45","Matéria 4","Professor 9","2025-03-13","Médio","76.26","Aprovado"
226,"Aluno 46","Matéria 5","Professor 10","2025-03-13","Médio","90.36","Aprovado"
227,"Aluno 46","Matéria 5","Professor 2","2025-03-13","Médio","37.95","Reprovado"
228,"Aluno 46","Matéria 10","Professor 6","2025-03-13","Médio","65.20","Reprovado"
229,"Aluno 46","Matéria 2","Professor 2","2025-03-13","Médio","44.46","Reprovado"
230,"Aluno 46","Matéria 6","Professor 1","2025-03-13","Médio","96.35","Aprovado"
231,"Aluno 47","Matéria 6","Professor 6","2025-03-13","Difícil","39.27","Reprovado"
232,"Aluno 47","Matéria 6","Professor 6","2025-03-13","Fácil","7.13","Reprovado"
233,"Aluno 47","Matéria 6","Professor 10","2025-03-13","Difícil","47.74","Reprovado"
234,"Aluno 47","Matéria 1","Professor 1","2025-03-13","Fácil","44.75","Reprovado"
235,"Aluno 47","Matéria 8","Professor 1","2025-03-13","Médio","66.32","Reprovado"
236,"Aluno 48","Matéria 7","Professor 6","2025-03-13","Médio","39.45","Reprovado"
237,"Aluno 48","Matéria 8","Professor 3","2025-03-13","Difícil","18.41","Reprovado"
238,"Aluno 48","Matéria 5","Professor 7","2025-03-13","Fácil","38.92","Reprovado"
239,"Aluno 48","Matéria 8","Professor 7","2025-03-13","Médio","24.06","Reprovado"
240,"Aluno 48","Matéria 4","Professor 10","2025-03-13","Médio","90.25","Aprovado"
241,"Aluno 49","Matéria 3","Professor 2","2025-03-13","Fácil","50.40","Reprovado"
242,"Aluno 49","Matéria 6","Professor 2","2025-03-13","Médio","81.99","Aprovado"
243,"Aluno 49","Matéria 8","Professor 3","2025-03-13","Difícil","36.65","Reprovado"
244,"Aluno 49","Matéria 4","Professor 8","2025-03-13","Difícil","45.47","Reprovado"
245,"Aluno 49","Matéria 4","Professor 8","2025-03-13","Difícil","71.06","Aprovado"
246,"Aluno 50","Matéria 7","Professor 6","2025-03-13","Difícil","67.04","Reprovado"
247,"Aluno 50","Matéria 8","Professor 3","2025-03-13","Difícil","15.27","Reprovado"
248,"Aluno 50","Matéria 8","Professor 9","2025-03-13","Difícil","86.51","Aprovado"
249,"Aluno 50","Matéria 2","Professor 7","2025-03-13","Difícil","60.38","Reprovado"
250,"Aluno 50","Matéria 4","Professor 2","2025-03-13","Médio","52.45","Reprovado"
251,"Aluno 51","Matéria 10","Professor 10","2025-03-13","Fácil","76.67","Aprovado"
252,"Aluno 51","Matéria 6","Professor 3","2025-03-13","Difícil","60.49","Reprovado"
253,"Aluno 51","Matéria 7","Professor 3","2025-03-13","Médio","16.18","Reprovado"
254,"Aluno 51","Matéria 6","Professor 1","2025-03-13","Difícil","63.62","Reprovado"
255,"Aluno 51","Matéria 5","Professor 3","2025-03-13","Fácil","81.14","Aprovado"
256,"Aluno 52","Matéria 9","Professor 3","2025-03-13","Difícil","64.64","Reprovado"
257,"Aluno 52","Matéria 2","Professor 10","2025-03-13","Fácil","71.80","Aprovado"
258,"Aluno 52","Matéria 5","Professor 9","2025-03-13","Difícil","7.08","Reprovado"
259,"Aluno 52","Matéria 7","Professor 5","2025-03-13","Médio","66.91","Reprovado"
260,"Aluno 52","Matéria 8","Professor 2","2025-03-13","Difícil","36.30","Reprovado"
261,"Aluno 53","Matéria 7","Professor 10","2025-03-13","Difícil","92.67","Aprovado"
262,"Aluno 53","Matéria 6","Professor 9","2025-03-13","Médio","0.76","Reprovado"
263,"Aluno 53","Matéria 10","Professor 5","2025-03-13","Médio","2.50","Reprovado"
264,"Aluno 53","Matéria 7","Professor 4","2025-03-13","Difícil","89.04","Aprovado"
265,"Aluno 53","Matéria 3","Professor 4","2025-03-13","Fácil","46.19","Reprovado"
266,"Aluno 54","Matéria 1","Professor 8","2025-03-13","Médio","92.20","Aprovado"
267,"Aluno 54","Matéria 1","Professor 8","2025-03-13","Difícil","21.02","Reprovado"
268,"Aluno 54","Matéria 5","Professor 3","2025-03-13","Difícil","43.86","Reprovado"
269,"Aluno 54","Matéria 10","Professor 1","2025-03-13","Médio","81.17","Aprovado"
270,"Aluno 54","Matéria 10","Professor 10","2025-03-13","Médio","33.92","Reprovado"
271,"Aluno 55","Matéria 3","Professor 10","2025-03-13","Médio","52.99","Reprovado"
272,"Aluno 55","Matéria 10","Professor 8","2025-03-13","Difícil","90.68","Aprovado"
273,"Aluno 55","Matéria 6","Professor 1","2025-03-13","Médio","88.46","Aprovado"
274,"Aluno 55","Matéria 4","Professor 2","2025-03-13","Fácil","54.88","Reprovado"
275,"Aluno 55","Matéria 3","Professor 10","2025-03-13","Fácil","47.69","Reprovado"
276,"Aluno 56","Matéria 7","Professor 10","2025-03-13","Médio","43.55","Reprovado"
277,"Aluno 56","Matéria 4","Professor 2","2025-03-13","Fácil","36.30","Reprovado"
278,"Aluno 56","Matéria 5","Professor 10","2025-03-13","Difícil","90.89","Aprovado"
279,"Aluno 56","Matéria 2","Professor 2","2025-03-13","Fácil","1.57","Reprovado"
280,"Aluno 56","Matéria 2","Professor 1","2025-03-13","Difícil","15.52","Reprovado"
281,"Aluno 57","Matéria 4","Professor 2","2025-03-13","Difícil","35.55","Reprovado"
282,"Aluno 57","Matéria 4","Professor 8","2025-03-13","Difícil","26.48","Reprovado"
283,"Aluno 57","Matéria 5","Professor 2","2025-03-13","Médio","14.20","Reprovado"
284,"Aluno 57","Matéria 4","Professor 5","2025-03-13","Médio","71.90","Aprovado"
285,"Aluno 57","Matéria 4","Professor 4","2025-03-13","Difícil","47.66","Reprovado"
286,"Aluno 58","Matéria 1","Professor 10","2025-03-13","Fácil","10.86","Reprovado"
287,"Aluno 58","Matéria 10","Professor 8","2025-03-13","Fácil","49.42","Reprovado"
288,"Aluno 58","Matéria 6","Professor 2","2025-03-13","Médio","23.04","Reprovado"
289,"Aluno 58","Matéria 6","Professor 5","2025-03-13","Fácil","51.01","Reprovado"
290,"Aluno 58","Matéria 6","Professor 7","2025-03-13","Difícil","10.45","Reprovado"
291,"Aluno 59","Matéria 5","Professor 8","2025-03-13","Médio","63.87","Reprovado"
292,"Aluno 59","Matéria 7","Professor 9","2025-03-13","Difícil","90.35","Aprovado"
293,"Aluno 59","Matéria 7","Professor 10","2025-03-13","Médio","82.70","Aprovado"
294,"Aluno 59","Matéria 7","Professor 10","2025-03-13","Médio","35.16","Reprovado"
295,"Aluno 59","Matéria 6","Professor 5","2025-03-13","Fácil","3.90","Reprovado"
296,"Aluno 60","Matéria 10","Professor 7","2025-03-13","Difícil","71.30","Aprovado"
297,"Aluno 60","Matéria 10","Professor 3","2025-03-13","Fácil","16.81","Reprovado"
298,"Aluno 60","Matéria 6","Professor 5","2025-03-13","Difícil","72.07","Aprovado"
299,"Aluno 60","Matéria 1","Professor 4","2025-03-13","Difícil","9.79","Reprovado"
300,"Aluno 60","Matéria 7","Professor 1","2025-03-13","Fácil","31.58","Reprovado"
301,"Aluno 61","Matéria 9","Professor 2","2025-03-13","Médio","45.08","Reprovado"
302,"Aluno 61","Matéria 8","Professor 7","2025-03-13","Médio","47.73","Reprovado"
303,"Aluno 61","Matéria 10","Professor 4","2025-03-13","Difícil","98.03","Aprovado"
304,"Aluno 61","Matéria 4","Professor 3","2025-03-13","Fácil","52.83","Reprovado"
305,"Aluno 61","Matéria 7","Professor 8","2025-03-13","Fácil","56.28","Reprovado"
